Rank,Company,Description,2011 Revenue,Percent change,2011 net income,2011 total return,Market cap,Employment,Top executive,City,Web site,Ticker
60,Belo Corp.,"Owns television stations, cable news channels and related websites.",$650142000,-5.4%,$57958000,-9.4%,$893892900,2403,Dunia A. Shive,Dallas,www.belo.com,BLC
61,Diodes Inc.,Supplies semiconductor parts.,$635251000,3.7%,$50737000,-21.1%,$1053727300,4499,Lu Ke-Hsiu,Dallas,www.diodes.com,DIOD
62,Texas Industries Inc.,Produces cement and concrete.,$621813000,0.1%,-$64913000,-32.4%,$979549900,2020,Melvin G. Brekhus,Dallas,www.txi.com,TXI
63,Keystone Consolidated Industries Inc.,Makes wire products.,$563985000,25.1%,$30211000,53.8%,$78662600,1024,David L. Cheek,Dallas,www.keystoneconsolidated.com,KYCN
64,First Cash Financial Services Inc.,Operates pawnshops.,$521302000,23.1%,$77782000,13.2%,$1264266500,5300,Rick L. Wessel,Arlington,ww2.firstcash.com,FCFS
65,Ennis Inc.,Manufactures printed business products.,$517014000,-0.1%,$31358000,-19%,$412213000,5812,Keith S. Walters,Midlothian,www.ennis.com,EBF
66,AZZ Inc.,Electrical equipment and components manufacturer.,$469112000,31.4%,$40736000,16.2%,$649766200,1956,David H. Dingus,Fort Worth,www.azz.com,AZZ
67,Eagle Materials Inc.,Produces and distributes building materials.,$462180000,-1.2%,$14849000,-7.6%,$1561814800,1350,Steven R. Rowley,Dallas,www.eaglematerials.com,EXP
68,A.H. Belo Corporation,Multi-platform media company.,$461503000,-5.3%,-$10933000,-43.6%,$106792900,1900,Robert W. Decherd,Dallas,www.ahbelo.com,AHC
69,Comstock Resources Inc.,"Acquisition, development, production and exploration of oil and gas.",$434367000,24.4%,-$33472000,-37.7%,$761760900,124,M. Jay Allison,Frisco,www.comstockresources.com,CRK
70,SWS Group Inc.,"Securities and banking, brokerage services and asset management.",$389819000,-7.7%,-$23203000,36.5%,$186506200,1073,James H. Ross,Dallas,www.swst.com,SWS
71,Frozen Food Express Industries Inc.,Refrigerated trucking company.,$388461000,5.3%,-$36670000,-70.7%,$22278200,2125,S. Russell Stubbs,Dallas,www.ffeinc.com,FFEX
72,Texas Capital Bancshares Inc.,Bank holding company.,$335170000,22.4%,$75976000,43.4%,$1307762600,786,George F. Jones Jr.,Dallas,www.texascapitalbank.com,TCBI
73,Reddy Ice Holdings Inc.,Manufactures and distributes packaged ice.,$328463000,4.1%,-$69455000,-91.3%,$7254800,1300,Gilbert M. Cassagne,Dallas,www.reddyice.com,RDDYQ
74,Digital Generation Inc.,Radio and television advertising services.,$324257000,34.4%,$24484000,-58.7%,$279405600,1722,Neil H. Nguyen,Irving,www.dgit.com,DGIT
75,Hallmark Financial Services Inc.,Property and casualty insurance products.,$322771000,5.1%,-$10821000,-23.2%,$151988700,382,Mark J. Morrison,Fort Worth,www.hallmarkgrp.com,HALL
76,Furmanite Corp.,Provides technical services for range of industries.,$316207000,10.6%,$23970000,-8.7%,$239097300,1529,Charles R. Cox,Richardson,www.furmanite.com,FRM
77,Tyler Technologies Inc.,Provides integrated information management solutions for local governments.,$309391000,7.2%,$27557000,45%,$1152607300,2091,John S. Marr Jr.,Dallas,www.tylertech.com,TYL
78,Nexstar Broadcasting Group Inc.,Owns and operates TV stations.,$306491000,-2.2%,-$11891000,30.9%,$239317400,2230,Perry A. Sook,Irving,www.nexstar.tv,NXST
79,Pfsweb Inc.,Transaction management services.,$298766000,8.8%,-$4566000,-16.9%,$50364700,1400,Mark C. Layton,Plano,www.pfsweb.com,PFSW
80,The Howard Hughes Corp.,Develops real estate.,$275691000,93.2%,$147180000,-18.8%,$2423592300,835,David R. Weinreb,Dallas,www.howardhughes.com,HHC
81,Capital Senior Living Corp.,Operates senior living communities.,$263502000,24.3%,$3025000,18.5%,$244287100,2545,Lawrence A. Cohen,Dallas,www.capitalsenior.com,CSU
82,RealPage Inc.,Provides real estate industry services,$257979000,37%,-$1231000,-18.3%,$1394427000,2273,Stephen T. Winn,Carrollton,www.realpage.com,RP
83,Union Drilling Inc.,Provides contract drilling services.,$250891000,30.3%,-$5351000,-14.3%,$140272200,1300,Christopher D. Strong,Fort Worth,www.uniondrilling.com,UDRL
84,Capstead Mortgage Corp.,Provider of real estate investment services.,$243378000,21.8%,$160204000,13.4%,$1184019200,12,Andrew F. Jacobs,Dallas,www.capstead.com,CMO
85,Penson Worldwide Inc.,Securites clearing and lending services.,$238808000,-4%,-$225510000,-76.3%,$19029300,815,Philip A. Pendergraft,Dallas,www.penson.com,PNSN
86,Holly Energy Partners LP,Operates refined product pipelines and distribution terminals.,$213549000,17.3%,$77997000,12.4%,$1727348000,216,Matthew P. Clifton,Dallas,www.hollyenergy.com,HEP
87,Mannatech Inc.,Develops and sells proprietary nutritional supplements and topical products.,$200689000,-12%,-$20659000,-75.6%,$96645000,387,Robert A. Sinnott,Coppell,www.mannatech.com,MTEX
88,Cambium Learning Group Inc.,Provides educational materials.,$172258000,-5%,-$49441,-12.2%,$131344100,628,Ronald Klausner,Dallas,www.cambiumlearning.com,ABCD
89,US Home Systems Inc.,Manufactures and installs specialty home-improvement products.,$164944867,13.1%,$4672004,37.3%,$69204000,830,Murray H. Gross,Lewisville,www.ushomesystems.com,USHS
90,Hilltop Holdings Inc.,Seeks variety of investments and provides some insurance products.,$152188000,15.5%,-$6531000,-14.8%,$474053900,135,Jeremy B. Ford,Dallas,www.hilltop-holdings.com,HTH
91,ViewPoint Financial Group Inc.,Bank holding company.,$151043000,1.5%,$26328000,13%,$518312100,528,Kevin J. Hanigan,Plano,www.viewpointfinancialgroup.com,VPFG
92,TGC Industries Inc.,Geophysical services provider to the oil and gas industry.,$151028582,39.4%,$10833215,87.9%,$192017000,935,Wayne A. Whitener,Plano,www.tgcseismic.com,TGE
93,United States Lime & Minerals Inc.,"Produces aggregates, hydrated lime, quicklime and pulverized limestone.",$142582000,7.5%,$22186000,42.7%,$373828900,301,Timothy W. Byrne,Dallas,www.uslm.com,USLM
94,The Hallwood Group Inc.,Owns and manages commercial real estate and other properties.,$139499000,-17.1%,-$6331000,-65.6%,$18515400,458,Anthony Joseph Gumbiner,Dallas,www.hallwood.com,HWG
95,Compx International Inc.,"Manufactures precision ball-bearing slides, security products and ergonomic devices used in office furniture.",$138835000,2.6%,$7673000,32.9%,$172290700,794,David A. Bowers,Dallas,www.compx.com,CIX
96,NL Industries Inc.,Produces and markets titanium dioxide pigments.,$138835000,2.6%,$81657000,20.2%,$725077000,794,Harold Clark Simmons,Dallas,www.nl-ind.com,NL
97,Tandy Brands Accessories Inc.,Makes and markets fashion accessories.,$123767000,-12.8%,-$13476000,-65.5%,$12310000,516,N. Roderick McGeachy III,Dallas,www.tandybrands.com,TBAC
98,PMFG Inc.,Manufactures environmental control systems.,$121794000,4.3%,$5749000,19%,$304455000,400,Peter J. Burlage,Dallas,www.pmfginc.com,PMFG
99,American Realty Investors Inc.,Real estate investment trust.,$118357000,1.9%,$290000,-76.5%,$19593200,na,Daniel J. Moos,Dallas,www.americanrealtyinvest.com,ARL
100,Atrion Corp.,Medical products and components.,$117704000,8.4%,$26038000,35.1%,$424612200,458,David A. Battat,Allen,www.atrioncorp.com,ATRI
101,Transcontinental Realty Investors Inc.,Real estate investment trust.,$114087000,3.5%,-$46321000,-75.6%,$20276500,na,Daniel J. Moos,Dallas,www.transconrealty-invest.com,TCI
102,Approach Resources Inc.,Explores and produces natural gas and oil.,$111762000,94.1%,$7242000,27.3%,$1230749100,81,J. Ross Craft,Fort Worth,www.approachresources.com,AREX
103,Adams Golf Inc.,Designs and sells golf equipment.,$96504000,11.9%,$14464000,37.2%,$85698500,131,B. H. Adams,Plano,www.adamsgolf.com,ADGF
104,Universal Power Group Inc.,Supply chain management and battery manufacturing and distribution.,$89274000,-16.8%,$214000,-48%,$9789000,116,Ian Colin Edmonds,Carrollton,www.upgi.com,UPG
105,Matador Resources Co.,"Exploration, production and acquisition of oil and gas resources.",$74106086,88.4%,-$10309013,na,$599182500,41,Joseph Wm. Foran,Dallas,www.matadorresources.com,MTDR
106,Archipelago Learning Inc.,Runs internet-based education company,$73265000,24.9%,$11945000,-1.4%,$292953700,380,Tim McEwen,Dallas,www.archipelagolearning.com,ARCL
107,TC Pipelines LP,Owns and manages pipline assets,$70400000,1.9%,$157400000,-2.9%,$2404135500,na,Steven D. Becker,Dallas,www.tcpipelineslp.com,TCP
108,Dorchester Minerals LP,Limited partnership with mining interests.,$69489000,13.7%,$42215000,-12.3%,$805230100,21,William Casey McManemin,Dallas,www.dmlp.net,DMLP
109,Westwood Holdings Group Inc.,Provides investment advisory servcies.,$68909000,24.6%,$14686000,-4.8%,$310691200,80,Brian O. Casey,Dallas,westwoodgroup.com,WHG
110,OmniAmerican Bancorp Inc.,Holding company for OmniAmerican Bank,$66937000,0.6%,$3967000,15.9%,$219027600,317,Tim Carter,Fort Worth,www.omniamerican.com,OABC
111,Tandy Leather Factory Inc.,Leather goods.,$66102947,10.4%,$4752601,3.4%,$53026800,443,Jon W. Thompson,Fort Worth,www.tandyleatherfactory.com,TLF
112,Capital Southwest Corp.,Venture capital investment group.,$59452000,-23.4%,$53688000,-20.7%,$354991600,11,Gary L. Martin,Dallas,www.capitalsouthwest.com,CSWC
113,Wilhelmina International Inc.,Entertainment company specializing in modeling and artist management,$55466000,13.4%,$1569000,33.3%,$23687700,81,Mark E. Schwarz,Dallas,www.wilhelmina.com,WHLM
114,American Caresource Holdings Inc.,Manages health benefits.,$48906000,-20.1%,-$7237000,-69.3%,$9391600,56,William J. Simpson Jr.,Dallas,www.anci-care.com,ANCI
115,Calloway's Nursery Inc.,Sells lawn and garden products.,$46589000,6.5%,$1295000,27.8%,$5215200,250,James C. Estill,Fort Worth,www.calloways.com,CLWY
116,Pizza Inn Holdings Inc.,Restaurant chain.,$43036000,5.3%,$1357000,182.1%,$38660800,17,Charlies R. Morrison,The Colony,www.pizzainn.com,PZZI
117,Teletouch Communications Inc.,Provides wireless services.,$40424000,-22.2%,-$2501000,27.1%,$29245400,125,Robert M. McMurrey,Fort Worth,www.teletouch.com,TLLE
118,Zix Corp.,Provides hosted Internet applications.,$38145000,15.4%,$22554000,-34%,$182981900,127,Richard D. Spurr,Dallas,www.zixcorp.com,ZIXI
119,RF Monolithics Inc.,"Designs, manufactures and markets radio frequency components.",$32475000,-3.4%,$228000,-14.9%,$11417400,64,Farlin A. Halsey Jr.,Dallas,www.rfm.com,RFMI
120,Retractable Technologies Inc.,Makes healthcare devices.,$32102296,-11.4%,$1418482,-32.6%,$34180200,144,Thomas J. Shaw,Little Elm,www.vanishpoint.com,RVP
121,Heelys Inc.,Manufactures specialized footwear.,$32017000,5.2%,-$5600000,-39.1%,$60656300,47,Thomas C. Hansen,Carrollton,heelys.com/,HLYS
122,Natural Health Trends Corp.,Develops and operates businesses that promote wellness.,$31162000,32.2%,$2305000,437.2%,$15064000,90,Chris T. Sharng,Dallas,www.naturalhealthtrendscorp.com,NHTC
123,RBC Life Sciences Inc.,Makes personal care products.,$28447967,1%,-$71494,-28.6%,$3641100,77,Clinton H. Howard,Irving,www.rbclifesciences.com,RBCL
124,Cano Petroleum Inc.,Explores and produces natural gas and oil.,$26127000,14.4%,-$185701000,-81.6%,$653300,29,James R. Latimer III,Irving,www.canopetro.com,CANOQ
125,Interphase Corp.,Designs and develops telecommunications products.,$21993000,20.8%,-$505000,151.1%,$36856700,81,Gregory B. Kalush,Plano,www.iphase.com,INPH
126,Micropac Industries Inc.,Makes microcircuits.,$20205000,-12.4%,$1643000,-23.1%,$14309600,125,Mark King,Garland,www.micropac.com,MPAD
127,Optex Systems Holdings Inc.,Manufactures optical sighting systems,$16227000,-29.2%,$591000,-87.1%,$1812800,76,Stanley A. Hirschman,Richardson,www.optexsys.com,OPXS
128,PMC Commercial Trust,A real estate investment trust and commercial lender.,$16076000,4%,$3647000,-10.6%,$90518200,33,Lance B. Rosemore,Dallas,www.pmctrust.com,PCC
129,SP Bancorp Inc.,Bank holding company.,$14687000,10.8%,$935000,9.7%,$21132100,60,Jeffrey L. Weaver,Plano,www.shareplus.com,SPBC
130,ViewCast.com Inc.,"Develops, manufactures and markets video-communication equipment.",$14110797,-11.1%,-$3021421,-68.8%,$7797900,61,John Hammock,Plano,www.viewcast.com,VCST
131,American Locker Group Inc.,Sells and rents lockers.,$13386336,10.6%,$37091,30.4%,$2335200,110,Allen E. Tilley,Grapevine,www.americanlocker.com,ALGI
132,Spindletop Oil & Gas Co.,"Explores, develops and produces oil and natural gas.",$9257000,23.5%,$1753000,-24.4%,$12700300,28,Chris G. Mazzini,Dallas,www.spindletopoil.com,SPND
133,Phazar Corp.,"Designs, manufactures and markets antennas, towers, etc.",$8399586,10%,-$326771,-51.5%,$5261900,64,Garland P. Asher,Mineral Wells,www.phazarcorp.com,ANTP
134,Halo Cos. Inc.,A distressed asset services company.,$6280314,-8.5%,-$2503028,-94.4%,$64839600,40,Brandon Cade Thompson,Allen,www.haloco.com,HALN
135,Cubic Energy Inc.,Explores and produces natural gas and oil.,$6133299,75.9%,-$10289236,-37%,$41696600,8,Calvin A. Wallen III,Dallas,www.cubicenergyinc.com,QBC
136,Intrusion Inc.,Provides business security products.,$5348000,-4.3%,-$933000,1.4%,$7781800,31,G. Ward Paxton,Richardson,www.intrusion.com,INTZ
137,New Concept Energy Inc.,Explores for natural gas,$3901000,-7.4%,-$11793000,-44.6%,$4380600,24,Gene S. Bertcher,Dallas,www.newconceptenergy.com,GBR
138,Immediatek Inc.,Provides infrastructure support and software solutions.,$3089364,46.7%,-$781384,na,$18562800,26,Robert S. Hart,Dallas,www.immediatek.com,IMKI
139,Claimsnet.com Inc.,Processes health transactions.,$2346000,0.9%,-$125000,0%,$592900,12,Don Crosbie,Dallas,www.claimsnet.com,CLAI
140,Wound Management Technologies Inc.,Develops and markets wound-care products.,$2210000,142.8%,-$12741000,-1.3%,$13927500,11,Robert H. Lutz Jr.,Fort Worth,www.wmgtech.com,WNDM
141,Quamtel Inc.,Offers telephone service through the Internet.,$1927263,-11.7%,-$4495728,-67%,$20652900,18,Stuart Ehrlich,Dallas,www.quamtel.com,QUMI
142,Access Pharmaceuticals Inc.,Develops products for treatment of cancer patients.,$1848000,284.2%,-$2532000,-41.9%,$27272000,14,Jeffrey B. Davis,Dallas,www.accesspharma.com,ACCP
143,XFormity Technologies Inc.,Designs software for quick-service restaurants.,$1806869,-6.2%,$193377,-50%,$2096500,8,Christopher Ball,Dallas,www.xformity.com,XFMY
144,Red Mountain Resources Inc.,Acquires and develops oil and gas properties.,$1709000,na,-$2489000,na,$124606900,na,Alan W. Barksdale,Dallas,redmountainresources.com,RDMP
145,Odyssey Pictures Corp.,Creates and distributes feature films.,$1604500,33.2%,$60400,-20%,$3496800,3,John W. Foster,Plano,www.odysseypix.com,OPIX
146,GreenHunter Energy Inc.,A diversified renewable energy company.,$1105340,na,-$4817404,7.4%,$68087000,8,Gary C. Evans,Grapevine,www.greenhunterenergy.com,GRH
147,CareView Communications Inc.,Develops and markets computer software.,$630452,93.4%,-$16264252,0.6%,$204733900,44,Samuel A. Greco,Lewisville,www.care-view.com,CRVW
148,ULURU Inc.,Develops medical products.,$484536,-68.9%,-$4070092,-86.6%,$2021600,8,Kerry P. Gray,Addison,www.uluruinc.com,ULUR
149,OxySure Systems Inc.,Develops products to generate medical grade oxygen.,$185209,na,-$1532400,na,$46813100,10,Julian T. Ross,Frisco,www.oxysure.com,OXYS
150,Sun River Energy Inc.,Explores for and develops oil and gas properties.,$98000,na,-$7328000,-78.1%,$16814700,13,Donal R. Schmidt Jr.,Dallas,www.sunriverenergy.com,SNRV
