Rank,Company,Ticker,Executive,Title,Title Category,2010 base salary,Bonus,Non-equity incentive,Total cash compensation,Stock options GDFV,Stock awards GDFV,Total equity compensation,All other compensation,Change in pension NQDC,Total compensation,Footnotes
13,AT&T Inc.,T,John T. Stankey,"President and CEO, AT&T Business Solutions",Division President/CEO,"$842,500",,"$1,475,000","$2,317,500","$5,596","$4,350,024","$4,355,620","$387,242","$2,439,970","$9,500,332",
14,AT&T Inc.,T,D.  Watts,Senior executive vice president and general counsel,General Counsel,"$706,667",,"$1,570,000","$2,276,667","$10,996","$4,000,024","$4,011,020","$208,776","$2,748,351","$9,244,814",
69,Atmos Energy Corp.,ATO,Robert W. Best,Chairman and chief executive,CEO,"$875,372",,"$706,152","$1,581,524",,"$1,577,951","$1,577,951","$168,529","$197,486","$3,525,490",
110,Atmos Energy Corp.,ATO,Fred E. Meisenheimer,"Senior vice president, chief financial officer and treasurer",CFO,"$373,250",,"$229,500","$602,750",,"$590,861","$590,861","$63,366","$1,446,042","$2,703,019",
104,Atmos Energy Corp.,ATO,Kim R. Cocklin,President and chief operating officer,COO,"$552,692",,"$362,253","$914,945",,"$916,414","$916,414","$155,888","$783,815","$2,771,062",
225,Atmos Energy Corp.,ATO,Louis P. Gregory,Senior Vice President and General Counsel,General Counsel,"$321,757",,"$178,445","$500,202",,"$410,744","$410,744","$66,941","$329,305","$1,307,192",
248,Atmos Energy Corp.,ATO,Michael E. Haefner,"Senior vice president, human resources",Other,"$288,786",,"$160,875","$449,661",,"$403,048","$403,048","$40,511","$228,141","$1,121,361",
281,Atrion Corp.,ATRI,Emile A. Battat,Chairman and chief executive,CEO,"$500,000",,"$417,128","$917,128",,,$-,"$34,933",,"$952,061",
437,Atrion Corp.,ATRI,Jeffery  Strickland,"Vice president and chief financial officer, secretary and treasurer",CFO,"$225,000",,"$104,282","$329,282",,"$30,046","$30,046","$11,960",,"$371,288",
313,Atrion Corp.,ATRI,David A. Battat,President and chief operating officer,COO,"$275,000",,"$500,000","$775,000",,,$-,"$36,526",,"$811,526","2010 Non-Equity Incentive was awarded to Mr. Battat for  the Halkey-Roberts Plan, which he received 75% of in 2010 and will receive 25% in 2012 provided he is then employed by Halkey-Roberts or an affiliate."
194,AZZ Inc.,AZZ,David H. Dingus,President and chief executive,CEO,"$500,000",,"$431,275","$931,275","$402,459","$196,874","$599,333","$38,590",,"$1,569,198",
342,AZZ Inc.,AZZ,Dana L. Perry,Senior vice president and chief financial officer,CFO,"$270,000",,"$161,231","$431,231","$128,791","$63,003","$191,794","$36,976",,"$660,001",
371,AZZ Inc.,AZZ,Tim E. Pendley,Senior vice president galvanizing services,Other,"$250,000",,"$150,975","$400,975","$96,593","$47,257","$143,850","$35,523",,"$580,348",
390,AZZ Inc.,AZZ,John V. Petro,"Senior vice president, electrical and industrial products segment",Other,"$250,000",,"$88,312","$338,312","$96,593","$47,257","$143,850","$36,381",,"$518,543",
441,AZZ Inc.,AZZ,Clement H. Watson,Vice president of sales electrical products group,Sales/Marketing executive,"$209,000",,"$49,815","$258,815","$34,880","$17,069","$51,949","$33,558",,"$344,322",
67,Belo Corp.,BLC,Dunia A. Shive,President and chief executive,CEO,"$764,567",,"$1,307,813","$2,072,380","$767,493","$769,923","$1,537,416",,"$8,412","$3,618,208",
300,Belo Corp.,BLC,Carey P. Hendrickson,Senior vice president/chief financial officer and treasurer,CFO,"$288,894",,"$240,000","$528,894","$177,444","$178,164","$355,608",,"$6,750","$891,252",
186,Belo Corp.,BLC,Peter L. Diaz,President/media operations,Division President/CEO,"$483,038",,"$550,000","$1,033,038","$275,706","$276,437","$552,143","$23,153","$48,927","$1,657,261",
442,Belo Corp.,BLC,Dennis A. Williamson,Former executive vice president/chief financial officer,Former executive,"$112,207","$200,000",,"$312,207",,,$-,,"$31,198","$343,405","Retired March 5, 2010"
188,Belo Corp.,BLC,Guy H. Kerr,Executive vice president/law and government and secretary,General Counsel,"$493,269",,"$550,000","$1,043,269","$275,706","$276,437","$552,143","$13,867","$24,049","$1,633,328",
84,Brinker International Inc.,EAT,Douglas H. Brooks,"Chairman, president and chief executive",CEO,"$934,615",,"$878,333","$1,812,948","$602,800","$594,240","$1,197,040","$83,936",,"$3,093,924",
176,Brinker International Inc.,EAT,Charles M. Sonsteby,Executive vice president and chief financial officer,CFO,"$644,054",,"$435,794","$1,079,848","$328,800","$299,180","$627,980","$61,294",$844,"$1,769,966",
246,Brinker International Inc.,EAT,Wyman T. Roberts,President Chili?s Grill & Bar,Division President/CEO,"$455,865",,"$270,231","$726,096","$191,800","$164,380","$356,180","$59,507",,"$1,141,783",
164,Brinker International Inc.,EAT,Todd E. Diener,"Former Executive vice president, Chili?s Grill & Bar president",Former executive,"$360,303",,,"$360,303","$328,800","$299,180","$627,980","$915,608",,"$1,903,891",No longer at company
236,Brinker International Inc.,EAT,Roger F. Thomson,"Executvie vice president, chief accounting officer, general counsel and secretary",General Counsel,"$542,455",,"$275,286","$817,741","$164,400","$150,900","$315,300","$78,689","$2,486","$1,214,216",
268,Brinker International Inc.,EAT,Michael B. Webberman,Executive vice president brand solutions,Sales/Marketing executive,"$425,177",,"$215,770","$640,947","$164,400","$150,900","$315,300","$68,183",$749,"$1,025,179",
153,Builders FirstSource Inc.,BLDR,Floyd F. Sherman,"President and chief executive, director",CEO,"$600,000",,,"$600,000","$684,955","$733,700","$1,418,655","$11,058",,"$2,029,713",
204,Builders FirstSource Inc.,BLDR,M. Chad Crow,Senior vice president and chief financial officer,CFO,"$350,000",,,"$350,000","$596,165","$526,350","$1,122,515","$11,758",,"$1,484,273",
184,Builders FirstSource Inc.,BLDR,Morris E. Tolly,Senior vice president ? operations,COO,"$450,000",,,"$450,000","$634,218","$574,200","$1,208,418","$1,454",,"$1,659,872",
201,Builders FirstSource Inc.,BLDR,Donald F. McAleenan,Senior vice president and general counsel,General Counsel,"$390,000",,,"$390,000","$596,165","$526,350","$1,122,515","$13,970",,"$1,526,485",
384,Builders FirstSource Inc.,BLDR,Frederick B. Schenkel,Vice president ? manufacturing,Other,"$250,000",,,"$250,000","$177,581","$95,700","$273,281","$11,070",,"$534,351",
331,Cambium Learning Group Inc.,ABCD,Ronald  Klausner,Chief executive,CEO,"$557,925",,"$150,381","$708,306",,,$-,"$11,056",,"$719,362",
446,Cambium Learning Group Inc.,ABCD,Bradley C. Almond,Senior vice president and chief financial officer,CFO,"$250,000","$25,000","$50,000","$325,000",,,$-,"$5,339",,"$330,339",
414,Cambium Learning Group Inc.,ABCD,John  Campbell,"Senior vice president and president, Cambium Learning Technologies",Division President/CEO,"$299,953",,"$128,700","$428,653",,,$-,"$6,816",,"$435,469",
385,Cambium Learning Group Inc.,ABCD,David F. Cappellucci,President,Non-CEO Chairman or Preisdent,"$403,750",,"$118,500","$522,250",,,$-,"$7,134",,"$529,384",
358,Cambium Learning Group Inc.,ABCD,Carolyn W. Getridge,Senior vice president of human resources and urban development,Other,"$200,000","$28,000","$257,653","$485,653","$124,743",,"$124,743","$7,814",,"$618,210",
273,Cano Petroleum Inc.,CFW,S. Jeffrey Johnson,Chief executive and chairman,CEO,"$561,531",,,"$561,531","$13,983","$382,464","$396,447","$39,840",,"$997,818",
392,Cano Petroleum Inc.,CFW,Benjamin  Daitch,Senior vice president and chief financial officer,CFO,"$250,000",,,"$250,000",,"$256,185","$256,185","$7,244",,"$513,429",
471,Cano Petroleum Inc.,CFW,Patrick M. McKinney,Senior vice president ? engineering and operations,COO,"$250,961",,,"$250,961","$6,991",,"$6,991","$11,103",,"$269,055",
464,Cano Petroleum Inc.,CFW,Michael J. Ricketts,Vice president and chief accounting officer,Other,"$187,000",,,"$187,000","$5,593","$74,776","$80,369","$11,046",,"$278,415",
264,Capital Senior Living Corp.,CSU,Lawrence A. Cohen,"Vice chairman and chief executive, director",CEO,"$645,646",,"$368,018","$1,013,664",,"$23,243","$23,243","$6,000",,"$1,042,907",
387,Capital Senior Living Corp.,CSU,Ralph A. Beattie,Executive vice president and chief financial officer,CFO,"$355,221",,"$152,745","$507,966",,"$9,236","$9,236","$9,722",,"$526,924",
378,Capital Senior Living Corp.,CSU,Keith N. Johannessen,"President and chief operating officer, director",COO,"$380,481",,"$171,216","$551,697",,"$9,893","$9,893","$8,250",,"$569,840",
468,Capital Senior Living Corp.,CSU,David R. Brickman,Vice president ? general counsel and secretary,General Counsel,"$209,557","$60,000",,"$269,557",,,$-,"$4,191",,"$273,748",
496,Capital Senior Living Corp.,CSU,Rob L. Goodpaster,Vice president ? national marketing,Sales/Marketing executive,"$158,082","$22,000",,"$180,082",,,$-,"$1,200",,"$181,282",
87,Capstead Mortgage Corp.,CMO,Andrew F. Jacobs,President and chief executive,CEO,"$931,450","$760,000",,"$1,691,450",,"$1,220,000","$1,220,000","$138,379",,"$3,049,829",
177,Capstead Mortgage Corp.,CMO,Phillip A. Reinsch,"Executive vice president, chief financial officer and secretary",CFO,"$539,450","$445,000",,"$984,450",,"$698,333","$698,333","$80,362",,"$1,763,145",
126,Capstead Mortgage Corp.,CMO,Robert R. Spears Jr.,Executive vice president-director of residential mortgage investments,Other,"$706,900","$605,000",,"$1,311,900",,"$918,333","$918,333","$103,425",,"$2,333,658",
253,Capstead Mortgage Corp.,CMO,Michael W. Brown,Senior vice president-asset and liability management and treasurer,Other,"$325,700","$285,000",,"$610,700",,"$448,333","$448,333","$51,272",,"$1,110,305",
75,Cash America International Inc.,CSH,Daniel R. Feehan,Chief executive and president,CEO,"$792,308",,"$895,771","$1,688,079",,"$1,456,047","$1,456,047","$197,232",,"$3,341,358",
224,Cash America International Inc.,CSH,Thomas A. Bessant Jr.,Executive vice president ? chief financial officer,CFO,"$409,000",,"$300,748","$709,748",,"$497,579","$497,579","$102,816",,"$1,310,143",
95,Cash America International Inc.,CSH,Timothy S. Ho,President ? E-Commerce Division,Division President/CEO,"$369,154",,"$2,426,151","$2,795,305",,,$-,"$73,856",,"$2,869,161",
218,Cash America International Inc.,CSH,Dennis J. Weese,President and chief operating officer ? retail services division,Division President/CEO,"$420,231",,"$300,181","$720,412",,"$515,836","$515,836","$108,627",,"$1,344,875",
293,Cash America International Inc.,CSH,J. Curtis Linscott,"Executive vice president, general counsel and secretary",General Counsel,"$296,692",,"$209,622","$506,314",,"$327,647","$327,647","$78,443",,"$912,404",
94,CEC Entertainment Inc.,CEC,Michael H. Magusiak,President and chief executive,CEO,"$800,867",,"$551,845","$1,352,712",,"$1,500,000","$1,500,000","$31,974",,"$2,884,686",
478,CEC Entertainment Inc.,CEC,Tiffany B. Kice,Chief financial officer,CFO,"$105,769",,"$50,000","$155,769",,"$94,521","$94,521","$6,746",,"$257,036","Hired Aug. 16, 2010"
349,CEC Entertainment Inc.,CEC,Christopher D. Morris,Former chief financial officer,Former executive,"$183,077",,,"$183,077",,"$450,000","$450,000","$10,783",,"$643,860","Employment ended July 16, 2010"
93,CEC Entertainment Inc.,CEC,Richard M. Frank,Executive chairman,Other,"$912,393",,"$427,500","$1,339,893",,"$1,500,000","$1,500,000","$51,384",,"$2,891,277",
271,CEC Entertainment Inc.,CEC,J. Roger Cardinale,Executive vice president,Other,"$340,000",,"$193,537","$533,537",,"$450,000","$450,000","$19,716",,"$1,003,253",
289,CEC Entertainment Inc.,CEC,Richard T. Huston,Executive vice president,Other,"$315,000",,"$179,506","$494,506",,"$400,000","$400,000","$30,372",,"$924,878",
20,Celanese Corp.,CE,David N. Weidman,Chairman and chief executive,CEO,"$900,000",,"$2,325,607","$3,225,607","$991,808","$3,437,994","$4,429,802","$74,857","$835,383","$8,565,649",
130,Celanese Corp.,CE,Steven M. Sterin,Senior vice president and chief financial officer,CFO,"$480,154",,"$522,791","$1,002,945","$192,874","$1,069,497","$1,262,371","$28,392","$12,040","$2,305,748",
43,Celanese Corp.,CE,Douglas M. Madden,Chief operating officer,COO,"$632,692",,"$1,021,475","$1,654,167","$330,651","$1,647,897","$1,978,548","$43,054","$877,260","$4,553,029",
28,Celanese Corp.,CE,James S. Alder,"Senior vice president, operations and technical",Other,"$455,588",,"$473,401","$928,989","$275,554","$956,668","$1,232,222","$27,364","$4,160,773","$6,349,348",
89,Celanese Corp.,CE,Jacquelyn H. Wolf,"Senior vice president, human resources",Other,"$400,000","$200,000","$304,864","$904,864","$593,821","$1,292,124","$1,885,945","$240,545","$9,831","$3,041,185",
50,Cinemark Holdings Inc.,CNK,Alan W. Stock,Chief executive,CEO,"$621,417",,"$828,556","$1,449,973",,"$2,610,736","$2,610,736","$114,289",,"$4,174,998",
81,Cinemark Holdings Inc.,CNK,Robert  Copple,"Chief financial officer, treasurer and executive vice president",CFO,"$428,563",,"$428,563","$857,126",,"$2,262,532","$2,262,532","$87,300",,"$3,206,958",
77,Cinemark Holdings Inc.,CNK,Timothy  Warner,President and chief operating officer,COO,"$455,348",,"$455,348","$910,696",,"$2,289,346","$2,289,346","$86,523",,"$3,286,564",
108,Cinemark Holdings Inc.,CNK,Valmir  Fernandes,President - Cinemark International,Division President/CEO,"$350,000",,"$350,000","$700,000",,"$1,908,864","$1,908,864","$105,341",,"$2,714,205",
154,Cinemark Holdings Inc.,CNK,Lee Roy Mitchell,Executive chairman,Other,"$818,510",,"$1,091,347","$1,909,857",,,$-,"$113,008",,"$2,022,865",
16,Comerica Inc.,CMA,Ralph W. Babb Jr.,"Chairman, president and chief executive",CEO,"$2,727,452",,"$1,986,350","$4,713,802","$757,680","$1,233,540","$1,991,220","$32,180","$2,108,247","$8,845,449",
129,Comerica Inc.,CMA,Elizabeth S. Acton,Executive vice president and chief financial officer,CFO,"$981,416",,"$446,000","$1,427,416","$227,920","$372,020","$599,940","$15,115","$275,273","$2,317,744",
72,Comerica Inc.,CMA,Dale E. Greene,Executive vice president,Other,"$1,009,073",,"$522,000","$1,531,073","$277,200","$450,340","$727,540","$19,374","$1,142,136","$3,420,123",
112,Comerica Inc.,CMA,Mary Constance Beck,Executive vice president Comerica Inc. and Comerica Bank,Other,"$1,126,879",,"$495,000","$1,621,879","$258,720","$411,180","$669,900","$21,088","$358,665","$2,671,532",
159,Comerica Inc.,CMA,Curtis C. Farmer,Executive vice president,Other,"$937,042",,"$346,000","$1,283,042","$258,720","$411,180","$669,900","$30,952",,"$1,983,894",
137,Commercial Metals Co.,CMC,Murray R. McClean,"Chairman, president and chief executive",CEO,"$630,000",,,"$630,000",,"$1,576,800","$1,576,800","$9,894",,"$2,216,694",
231,Commercial Metals Co.,CMC,William B. Larson,Senior vice president and chief financial officer,CFO,"$351,000",,,"$351,000",,"$847,600","$847,600","$48,180",,"$1,246,780",
274,Commercial Metals Co.,CMC,Joseph  Alvarado,Executive vice president and chief operating officer,COO,"$165,385",,,"$165,385",,"$828,800","$828,800","$1,799",,"$995,984",
192,Commercial Metals Co.,CMC,Hanns K. Zoellner,Executive vice president and president ? international division,Division President/CEO,"$470,215",,,"$470,215",,"$847,600","$847,600","$263,986",,"$1,581,801",Annual base salary is set in Swiss francs at the rate of 1.024 Swiss francs to 1 U.S. dollar
244,Commercial Metals Co.,CMC,Tracy L. Porter,Senior vice president CMC and president ? CMC Americas Division,Division President/CEO,"$342,077",,,"$342,077",,"$797,800","$797,800","$9,894",,"$1,149,771",
314,CompX International Inc.,CIX,David A. Bowers,"Vice chairman, president and chief executive",CEO,"$379,860","$400,000",,"$779,860",,,$-,"$30,852",,"$810,712",
426,CompX International Inc.,CIX,Darryl R. Halbert,"Vice president, chief financial officer and controller",CFO,"$419,100",$-,,"$419,100",,,$-,,,"$419,100",
396,CompX International Inc.,CIX,Scott C. James,Vice president,Other,"$258,024","$206,500",,"$464,524",,,$-,"$29,141",,"$493,665",
434,CompX International Inc.,CIX,Corey J. Boland,Vice president,Other,"$199,274","$160,000",,"$359,274",,,$-,"$30,852",,"$390,126",Amounts converted from Canadian dollars using an exchange rate of $0.94 US dollar to $1 Canadian
21,Comstock Resources Inc.,CRK,M. Jay Allison,President and chief executive,CEO,"$550,000","$2,800,000",,"$3,350,000",,"$4,652,750","$4,652,750","$105,559","$105,558","$8,213,867",
74,Comstock Resources Inc.,CRK,Roland O. Burns,Senior vice president and chief financial officer,CFO,"$385,000","$975,000",,"$1,360,000",,"$1,886,250","$1,886,250","$37,108","$70,688","$3,354,046",
354,Comstock Resources Inc.,CRK,Mark A. Williams,Vice president of operations,COO,"$238,500","$195,000",,"$433,500",,"$188,625","$188,625","$7,350",,"$629,475",
198,Comstock Resources Inc.,CRK,Mack D. Good,Former chief operating officer,Former executive,"$332,000","$525,000",,"$857,000",,"$679,050","$679,050","$8,263","$12,368","$1,556,681",
320,Comstock Resources Inc.,CRK,D. Dale Gillette,Vice president of land and general counsel,General Counsel,"$300,000","$225,000",,"$525,000",,"$226,350","$226,350","$10,889","$12,424","$774,663",
350,Comstock Resources Inc.,CRK,Stephen E. Neukom,Vice president of marketing,Sales/Marketing executive,"$220,000","$205,000",,"$425,000",,"$206,230","$206,230","$8,086",,"$639,316",
435,Cornerworld Corp.,CWRL,Scott N. Beck,Chairman  and chief executive,CEO,"$250,000","$134,375",,"$384,375",,,$-,,,"$384,375",
49,D.R. Horton Inc.,DHI,Donald J. Tomnitz,"Vice chairman, chief executive and president",CEO,"$900,000",,"$1,989,755","$2,889,755",,"$1,153,000","$1,153,000","$100,050","$44,828","$4,187,633",
338,D.R. Horton Inc.,DHI,Bill W. Wheat,Executive vice president and chief financial officer,CFO,"$250,000","$400,000",,"$650,000",,,$-,"$34,375","$12,247","$696,622",
47,D.R. Horton Inc.,DHI,Donald R. Horton,Chairman,Non-CEO Chairman or Preisdent,"$1,000,000",,"$1,989,755","$2,989,755",,"$1,153,000","$1,153,000","$110,050","$61,718","$4,314,523",
340,D.R. Horton Inc.,DHI,Stacey H. Dwyer,Executive vice president and treasurer,Other,"$250,000","$400,000",,"$650,000",,,$-,"$32,350","$12,413","$694,763",
63,Darling International Inc.,DAR,Randall C. Stuewe,Chairman and chief executive,CEO,"$675,000",,"$1,188,041","$1,863,041","$299,678","$1,582,752","$1,882,430","$43,613","$22,410","$3,811,494",
